Name,City,Country,Latitude,Longitude
Priolo ISAB SpA (sud),Italy,Priolo,37.1598584,15.1837006
Melilli ISAB SpA (nord),Italy,Melilli,37.1810245,15.1253159
Augusta Sonatrach,Italy,Augusta,37.2500684,15.2216971
Catania Air Liquide,Italy,Catania,37.5078772,15.0830304
Milazzo Linde,Italy,Milazzo,38.2207102,15.2419327
Milazzo Raffineria di Milazzo SpA.(Eni),Italy,Milazzo,38.2217102,15.2419327
Sarroch Saras SpA Raffinerie Sarde,Italy,Sarroch,39.0654974,9.0108377
Assemini EniChem,Italy,Assemini,39.2106099,9.0018424
Taranto Linde,Italy,Taranto,40.4643606,17.2470303
Taranto Eni,Italy,Taranto,40.4653606,17.2470303
Farrandina Sapio,Italy,Farrandina,40.4974557,16.4570531
Brindisi Versalis,Italy,Brindisi,40.6327278,17.9417616
Campochiaro Fater,Italy,Campochiaro,41.4414924,14.5072722
Bussi sul Tirino Ausimont SpA,Italy,Bussi sul Tirino,42.2145849,13.8253915
Saline di Volterra Altair Chimica SpA,Italy,Volterra,43.399395,10.8660333
Rosignano Solvay,Italy,Rosignano Marittimo,43.4066931,10.4621366
Livorno Eni,Italy,Livorno,43.548473,10.3105674
Falconara Marittima/Ancona Api Energia SpA,Italy,Falconara Marittima,43.6250339,13.3702811
Falconara Marittima/Ancona Anonima Petroli Italiana S.p.A.,Italy,Falconara Marittima,43.6240339,13.3702811
Genova Ansaldo,Italy,Genova,44.4056499,8.946256
Ravenna Linde,Italy,Ravenna,44.4183598,12.2035294
Ravenna SOL SpA,Italy,Ravenna,44.4193598,12.2035294
Ravenna Linde,Italy,Ravenna,44.4203598,12.2035294
Busalla Iplom Spa,Italy,Busalla,44.5692431,8.9461497
Ferrara YARA,Italy,Ferrara,44.8391237,11.619787
Sannazaro de Burgondi Eni,Italy,Sannazzaro,45.1019768,8.907521
Venaria-Reale Air Liquide,Italy,Venaria-Reale,45.1437329,7.6232892
Mantova Sapio,Italy,Mantova,45.1564168,10.7913751
Mantova Air Products,Italy,Mantova,45.1574168,10.7913751
Mantova Air Products,Italy,Mantova,45.1584168,10.7913751
Mantova Versalis,Italy,Mantova,45.1604168,10.7913751
Porto Marghera Versalis,Italy,Venice,45.4428474,12.3155151
San Martino di Trecate Sarpom (Esso Group),Italy,San Martino di Trecate,45.4468891,8.7901068
Brescia Industrie Chimiche Caffaro,Italy,Brescia,45.5425526,10.2118019
Osio Sopra SIAD,Italy,Osio Sopra,45.6301358,9.5886269
Torviscosa Industrie Chimiche Caffaro (Halo Industry),Italy,Torviscosa,45.8292352,13.2627729
Pieve Vergonte HydroChem Italia,Italy,Pieve Vergonte,46.0085014,8.2652233
Unknown,Lithuania,Jonava,55.0727242,24.2793337
Unknown,Lithuania,Mazeikiai,56.3092439,22.341468
Hystock,Netherlands,Veendam,53.1028443,6.8694863
Hydrogenpilot Oosterwolde (SinneWetterstof Hydrogen Pilot Project),Netherlands,Oosterwolde,53.0019687,6.29213356390565
HySolar HRS,Netherlands,Nieuwegein,52.0298704,5.09293340872922
Bergen op Zoom Sabic EuroPetrochemicals,Netherlands,Bergen op Zoom,51.4945758,4.2871622
Bergen op Zoom Air Liquide,Netherlands,Bergen op Zoom,51.4955758,4.2871622
Bergen op Zoom Air Liquide,Netherlands,Bergen op Zoom,51.4965758,4.2871622
Botlek-Rotterdam Nobian,Netherlands,Botlek,51.8817247,4.2931302
Botlek-Rotterdam ExxonMobil Chemical,Netherlands,Botlek,51.8847247,4.2931302
Botlek-Rotterdam Air Products,Netherlands,Botlek,51.8857247,4.2931302
Botlek-Rotterdam Air Liquide,Netherlands,Botlek,51.8887247,4.2931302
