Lat,Lon,Title,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse,Column 1
48.4248151,10.8778564,,[H-TEC SYSTEMS GmbH](https://www.h-tec.com/),H-TEC SYSTEMS GmbH,https://www.h-tec.com/,Am Mittleren Moos 46,86167,Augsburg,Bayern,Wirtschaft,PEP.IN,Partner,www.h-tec.com,
53.7371069,14.0458887,,[HAFF-Dichtungen GmbH](https://www.haff-dichtungen.de/),HAFF-Dichtungen GmbH,https://www.haff-dichtungen.de/,Ziegeleistr. 3,17373,Ueckermünde,Mecklenburg-Vorpommern,Wirtschaft,AEL4GW,Partner,www.haff-dichtungen.de,
47.9118288,7.7033313,,[Hahn-Schickard-Gesellschaft für angewandte Forschung e. V.](https://www.hahn-schickard.de/),Hahn-Schickard-Gesellschaft für angewandte Forschung e. V.,https://www.hahn-schickard.de/,Georges-Köhler-Allee 103,79110,Freiburg im Breisgau,Baden-Württemberg,Wissenschaft,"Fluorfreie MEA, SEGIWA",Koordinator,www.hahn-schickard.de,
51.1297475,13.8392137,,[Helmholtz-Zentrum Dresden - Rossendorf e. V.](https://www.hzdr.de/),Helmholtz-Zentrum Dresden - Rossendorf e. V.,https://www.hzdr.de/,Bautzner Landstr. 400,01328,Dresden,Sachsen,Wissenschaft,SINEWAVE,Partner,www.hzdr.de,
50.8974968,13.2539626,,[Helmholtz-Zentrum Dresden - Rossendorf e. V.](https://www.hzdr.de/),Helmholtz-Zentrum Dresden - Rossendorf e. V.,https://www.hzdr.de/,Chemnitzer Str. 40,09599,Freiberg,Sachsen,Wissenschaft,ReNaRe,Partner,www.hzdr.de,
53.5692303,10.1007321,,[Helmut-Schmidt-Universität](https://www.hsu-hh.de/),Helmut-Schmidt-Universität,https://www.hsu-hh.de/,Holstenhofweg 85,22043,Hamburg,Hamburg,Wissenschaft,eModule,Koordinator,www.hsu-hh.de,
50.1799501,8.9230068,,[Heraeus Deutschland GmbH & Co. KG](https://www.heraeus.com/),Heraeus Deutschland GmbH & Co. KG,https://www.heraeus.com/,Heraeusstr. 12-14,63450,Hanau,Hessen,Wirtschaft,"StacIE, ReNaRe, SEGIWA, DERIEL",Partner,www.heraeus.com,
47.659216,9.1750718,,[Hexis GmbH](https://www.hexis.com/),Hexis GmbH,https://www.hexis.com/,Schulthaißstr. 15,78462,Konstanz,Baden-Württemberg,Wirtschaft,ReNaRe,Partner,www.hexis.com,
50.7752776,7.1895507,,[Hochschule Bonn-Rhein-Sieg](https://www.h-brs.de/),Hochschule Bonn-Rhein-Sieg,https://www.h-brs.de/,Grantham-Allee 20,53757,Sankt Augustin,Nordrhein-Westfalen,Wissenschaft,HyLeiT,Partner,www.h-brs.de,
51.5017981,6.547923,,[Hochschule Rhein-Waal](https://www.hochschule-rhein-waal.de/),Hochschule Rhein-Waal,https://www.hochschule-rhein-waal.de/,Friedrich-Heinrich-Allee 25,47475,Kamp-Lintfort,Nordrhein-Westfalen,Wissenschaft,StaR,Partner,www.hochschule-rhein-waal.de,
